Title,ISBN,Language,Publication_year,First_name,Last_name,Birth_date,Birth_city,Name
Hot Fuzz,867778553-1,Polish,2012,Karie,Bendixen,1969-12-29,Amsterdam,Pearson Italia
Paradise Lost 2 Revelations,165632171-8,Italian,2010,Cristian,Pes,1981-09-10,New York,Pearson Italia
Diplomacy (Diplomatie),507124152-8,French,2019,Hastings,Sweetman,1978-08-13,Los Angeles,Pearson Italia
Diplomacy (Diplomatie),507124152-8,French,2019,Godwin,Lebbern,1983-11-16,San Diego,Pearson Italia
Diplomacy (Diplomatie),507124152-8,French,2019,Lewes,Salsberg,1988-05-18,Cumberland,Pearson Italia
Diplomacy (Diplomatie),507124152-8,French,2019,Jasen,Itter,1967-12-24,Madison,Pearson Italia
Diplomacy (Diplomatie),507124152-8,French,2019,Betti,Benz,1977-08-05,Berlino,Pearson Italia
Diplomacy (Diplomatie),507124152-8,French,2019,Roxy,Burnage,1955-04-13,Oxford,Pearson Italia
Human-computer interaction,364615054-8,English,2017,Petunia,Breznovic,1981-02-19,Prague,Pearson Italia
Human-computer interaction,364615054-8,English,2017,Jefferson,Dewire,1971-02-16,Cardiff,Pearson Italia
Human-computer interaction,364615054-8,English,2017,Bryanty,Froud,1970-10-30,London,Pearson Italia
Kumail Nanjiani Beta Male ,925812482-0,German,2010,Gwyneth,Tinsley,1986-05-12,Los Angeles,Pearson Italia
Kumail Nanjiani Beta Male ,925812482-0,German,2010,Giustina,Jezzard,1969-02-04,Pleasantville,Pearson Italia
Kumail Nanjiani Beta Male ,925812482-0,German,2010,Andrej,Von Der Empten,1989-12-17,Amsterdam,Pearson Italia
Kumail Nanjiani Beta Male ,925812482-0,German,2010,Russ,Leander,1959-11-16,Oxford,Pearson Italia
Kumail Nanjiani Beta Male ,925812482-0,German,2010,Lavena,Capey,1972-02-17,Cumberland,Pearson Italia
Kumail Nanjiani Beta Male ,925812482-0,German,2010,Shelbi,Wheelton,1987-09-12,Los Angeles,Pearson Italia
Iron Mask The,951964371-0,Bengali,2014,Ludvig,Callf,1971-06-05,London,Pearson Italia
Kairat,825867311-4,Hiri Motu,2013,Cristian,Pes,1981-09-10,New York,Pearson Italia
Kairat,825867311-4,Hiri Motu,2013,Hirsch,Legging,1961-12-19,Oxford,Pearson Italia
Kairat,825867311-4,Hiri Motu,2013,Leroy,Vasiltsov,1976-10-13,San Diego,Pearson Italia
Carmen Comes Home (Karumen kokyo ni kaeru),517581126-6,Hindi,2020,Cristian,Pes,1981-09-10,New York,Pearson Italia
Carmen Comes Home (Karumen kokyo ni kaeru),517581126-6,Hindi,2020,Gertrudis,Corzon,1983-06-21,Oxford,Pearson Italia
Vehicle 19,509808775-9,English,2013,Margaretta,Pardal,1970-03-08,New York,Pearson Italia
Attack of the 50 Foot Woman,075305079-X,Danish,2010,Sim,Frondt,1967-05-20,Bloomington,Pearson Italia
Enemy,216013488-0,Arabic,2012,Lewes,Salsberg,1988-05-18,Cumberland,Pearson Italia
Enemy,216013488-0,Arabic,2012,Jermaine,Van Velde,1979-04-23,Los Angeles,Pearson Italia
Enemy,216013488-0,Arabic,2012,Fiorenze,Deluca,1984-07-22,Lawrence,Pearson Italia
Enemy,216013488-0,Arabic,2012,Hastings,Sweetman,1978-08-13,Los Angeles,Pearson Italia
History Boys The,333748888-9,Catalan,2017,Perrine,Blagden,1984-01-04,Washington,Pearson Italia
History Boys The,333748888-9,Catalan,2017,Luciano,Gamberini,1979-11-08,Rome,Pearson Italia
Battle Royale 2 Requiem (Batoru rowaiaru II Chinkonka),585173205-9,English,2018,Gabriella,Orum,1958-11-21,Madison,Pearson Italia
Battle Royale 2 Requiem (Batoru rowaiaru II Chinkonka),585173205-9,English,2018,Brynn,Semor,1986-05-09,Oslo,Pearson Italia
Battle Royale 2 Requiem (Batoru rowaiaru II Chinkonka),585173205-9,English,2018,Erny,Wrixon,1967-02-25,Nashville,Pearson Italia
Svidd Neger,376459959-6,English,2018,Cecile,Follacaro,1986-01-08,New York,Pearson Italia
Svidd Neger,376459959-6,English,2018,Hastings,Sweetman,1978-08-13,Los Angeles,Pearson Italia
Svidd Neger,376459959-6,English,2018,Russ,Leander,1959-11-16,Oxford,Pearson Italia
Svidd Neger,376459959-6,English,2018,Junia,Everal,1973-11-09,Los Angeles,Pearson Italia
Peculiarities of the National Hunt (Osobennosti natsionalnoy okhoty) ,947990234-6,English,2019,Beverlee,Jepensen,1976-12-17,Cumberland,Pearson Italia
Peculiarities of the National Hunt (Osobennosti natsionalnoy okhoty) ,947990234-6,English,2019,Jon,Duckett,1978-08-16,Los Angeles,Pearson Italia
Peculiarities of the National Hunt (Osobennosti natsionalnoy okhoty) ,947990234-6,English,2019,Ange,Symcox,1977-07-01,Paris,Pearson Italia
Open Windows,405663612-5,English,2015,Ludvig,Callf,1971-06-05,London,Pearson Italia
Open Windows,405663612-5,English,2015,Kerri,Adiscot,1980-06-28,Cumberland,Pearson Italia
Open Windows,405663612-5,English,2015,Jermaine,Van Velde,1979-04-23,Los Angeles,Pearson Italia
Open Windows,405663612-5,English,2015,Breanne,Weben,1989-11-13,London,Pearson Italia
Open Windows,405663612-5,English,2015,Junia,Everal,1973-11-09,Los Angeles,Pearson Italia
Open Windows,405663612-5,English,2015,Shamkant,Navathe,1962-11-24,London,Pearson Italia
Fundamentals of Database Systems,740153355-3,Italian,2019,Jodee,Westwick,1968-01-23,Liverpool,Pearson Italia
Fundamentals of Database Systems,740153355-3,Italian,2019,Sella,Marriage,1988-12-01,Madison,Pearson Italia
Fundamentals of Database Systems,740153355-3,Italian,2019,Junia,Everal,1973-11-09,Los Angeles,Pearson Italia
Lone Ranger The,698429931-4,Icelandic,2011,Gregorius,McPhater,1976-12-04,Pleasantville,Tecniche Nuove
Lone Ranger The,698429931-4,Icelandic,2011,Margaretta,Pardal,1970-03-08,New York,Tecniche Nuove
Lone Ranger The,698429931-4,Icelandic,2011,Maible,Twidale,1963-01-29,Bloomington,Tecniche Nuove
Lone Ranger The,698429931-4,Icelandic,2011,De,Wackly,1989-09-17,Bloomington,Tecniche Nuove
Woman on the Beach (Haebyeonui yeoin),661872594-1,English,2020,Gwyneth,Tinsley,1986-05-12,Los Angeles,Tecniche Nuove
Woman on the Beach (Haebyeonui yeoin),661872594-1,English,2020,Ludvig,Callf,1971-06-05,London,Tecniche Nuove
Chronicle of a Summer (Chronique d un été),851106761-2,Italian,2019,Cristian,Pes,1981-09-10,New York,Tecniche Nuove
Chronicle of a Summer (Chronique d un été),851106761-2,Italian,2019,Sim,Frondt,1967-05-20,Bloomington,Tecniche Nuove
Chronicle of a Summer (Chronique d un été),851106761-2,Italian,2019,Junia,Everal,1973-11-09,Los Angeles,Tecniche Nuove
Such Is Life (Así es la vida),301170811-8,English,2019,Angil,Beckson,1956-05-01,Oxford,Tecniche Nuove
Such Is Life (Así es la vida),301170811-8,English,2019,Nicki,Pharrow,1984-09-16,Los Angeles,Tecniche Nuove
Tenchi The Samurai Astronomer,214940353-6,English,2018,Zilvia,Silver,1958-04-25,Nashville,Tecniche Nuove
Tenchi The Samurai Astronomer,214940353-6,English,2018,Cal,Inkin,1969-11-22,Oxford,Tecniche Nuove
Ingeborg Holm,814543114-X,English,2013,Jasen,Itter,1967-12-24,Madison,Tecniche Nuove
Ingeborg Holm,814543114-X,English,2013,Adamo,Ligoe,1971-03-26,New York,Tecniche Nuove
Inspectors The,050916783-7,Catalan,2017,Harlene,Tartt,1984-09-20,New York,Tecniche Nuove
Inspectors The,050916783-7,Catalan,2017,Margaretha,Aysik,1973-03-18,Washington,Tecniche Nuove
Golem,296111646-5,Japanese,2019,Giffer,Leisman,1959-05-25,Los Angeles,Tecniche Nuove
Golem,296111646-5,Japanese,2019,Giustina,Jezzard,1969-02-04,Pleasantville,Tecniche Nuove
Golem,296111646-5,Japanese,2019,Jefferson,Dewire,1971-02-16,Cardiff,Tecniche Nuove
Golem,296111646-5,Japanese,2019,Enrico,Zimuel,1972-04-11,Milan,Tecniche Nuove
Golem,296111646-5,Japanese,2019,Jacquenette,Snookes,1973-08-07,Lawrence,Tecniche Nuove
Bed & Breakfast Love is a Happy Accident (Bed & Breakfast),076691563-8,Dari,2018,Karie,Bendixen,1969-12-29,Amsterdam,Tecniche Nuove
Family Tree,129488690-8,English,2017,Ludvig,Callf,1971-06-05,London,Tecniche Nuove
Family Tree,129488690-8,English,2017,Ludvig,Callf,1971-06-05,London,Tecniche Nuove
Family Tree,129488690-8,English,2017,Abey,Crowest,1965-07-20,New York,Tecniche Nuove
Purple Rose of Cairo The,292051296-X,Guaraní,2013,Sim,Frondt,1967-05-20,Bloomington,Tecniche Nuove
PHP 7 development,331424241-7,Italian,2015,Margaretha,Aysik,1973-03-18,Washington,Tecniche Nuove
PHP 7 development,331424241-7,Italian,2015,Adamo,Ligoe,1971-03-26,New York,Tecniche Nuove
PHP 7 development,331424241-7,Italian,2015,Margaretta,Pardal,1970-03-08,New York,Tecniche Nuove
Phil Spector,065646345-7,Irish Gaelic,2020,Sim,Frondt,1967-05-20,Bloomington,Tecniche Nuove
Phil Spector,065646345-7,Irish Gaelic,2020,Quincey,Franke,1964-10-12,Bloomington,Tecniche Nuove
Phil Spector,065646345-7,Irish Gaelic,2020,Angil,Beckson,1956-05-01,Oxford,Tecniche Nuove
Phil Spector,065646345-7,Irish Gaelic,2020,Cecile,Follacaro,1986-01-08,New York,Tecniche Nuove
Phil Spector,065646345-7,Irish Gaelic,2020,Walker,Dumberell,1965-12-30,London,Tecniche Nuove
Death Defying Acts,009140312-X,Dhivehi,2017,Mirelle,Hehnke,1968-06-25,Los Angeles,Tecniche Nuove
Death Defying Acts,009140312-X,Dhivehi,2017,Petunia,Breznovic,1981-02-19,Prague,Tecniche Nuove
Death Defying Acts,009140312-X,Dhivehi,2017,Cal,Inkin,1969-11-22,Oxford,Tecniche Nuove
Doc Savage The Man of Bronze,093035174-6,English,2015,Enrico,Zimuel,1972-04-11,Milan,Tecniche Nuove
Doc Savage The Man of Bronze,093035174-6,English,2015,Ramez,Elmasri,1970-02-16,Oxford,Tecniche Nuove
Doc Savage The Man of Bronze,093035174-6,English,2015,Raquel,Semered,1972-03-21,Bloomington,Tecniche Nuove
Doc Savage The Man of Bronze,093035174-6,English,2015,Marnie,Spinke,1987-09-07,Los Angeles,Tecniche Nuove
Family Life,394873350-3,English,2014,Beverlee,Jepensen,1976-12-17,Cumberland,Tecniche Nuove
Family Life,394873350-3,English,2014,Chelsea,Nannetti,1973-04-14,San Diego,Tecniche Nuove
Family Life,394873350-3,English,2014,Adamo,Ligoe,1971-03-26,New York,Tecniche Nuove
Family Life,394873350-3,English,2014,Ludvig,Callf,1971-06-05,London,Tecniche Nuove
The Dark Horse,132261731-7,Guaraní,2018,Xylia,Bendle,1975-01-01,Cumberland,Tecniche Nuove
The Dark Horse,132261731-7,Guaraní,2018,Russ,Leander,1959-11-16,Oxford,Tecniche Nuove
The Dark Horse,132261731-7,Guaraní,2018,Jermaine,Van Velde,1979-04-23,Los Angeles,Tecniche Nuove
The Dark Horse,132261731-7,Guaraní,2018,Hirsch,Legging,1961-12-19,Oxford,Tecniche Nuove
Secret Garden The,368968937-6,English,2014,Sandro,Wilcher,1990-09-25,Nashville,Packt Publishing
Secret Garden The,368968937-6,English,2014,Nicki,Pharrow,1984-09-16,Los Angeles,Packt Publishing
Secret Garden The,368968937-6,English,2014,Ludvig,Callf,1971-06-05,London,Packt Publishing
Secret Garden The,368968937-6,English,2014,Andrej,Von Der Empten,1989-12-17,Amsterdam,Packt Publishing
Gingerbread Man The,004023598-X,Dari,2012,Bartolemo,Chadwin,1969-07-22,Pleasantville,Packt Publishing
Gingerbread Man The,004023598-X,Dari,2012,Chelsea,Nannetti,1973-04-14,San Diego,Packt Publishing
Gingerbread Man The,004023598-X,Dari,2012,Godwin,Lebbern,1983-11-16,San Diego,Packt Publishing
Gingerbread Man The,004023598-X,Dari,2012,Xylia,Bendle,1975-01-01,Cumberland,Packt Publishing
World of Kanako The (Kawaki),290005808-2,Lao,2020,Briant,Anespie,1989-01-01,Los Angeles,Packt Publishing
Meet Joe Black,182342356-6,Japanese,2011,Zilvia,Silver,1958-04-25,Nashville,Packt Publishing
Meet Joe Black,182342356-6,Japanese,2011,Harlene,Tartt,1984-09-20,New York,Packt Publishing
Meet Joe Black,182342356-6,Japanese,2011,Lavena,Capey,1972-02-17,Cumberland,Packt Publishing
Meet Joe Black,182342356-6,Japanese,2011,Theo,McLauchlin,1961-03-01,Cardiff,Packt Publishing
You Only Live Once,147191251-5,Dari,2018,Merissa,Senechault,1956-02-02,New York,Packt Publishing
You Only Live Once,147191251-5,Dari,2018,Cristian,Pes,1981-09-10,New York,Packt Publishing
You Only Live Once,147191251-5,Dari,2018,Godwin,Lebbern,1983-11-16,San Diego,Packt Publishing
Dakota Skye,194862546-6,English,2011,Hannah,Bachnic,1956-06-22,Madison,Packt Publishing
The Fourth War,171208472-0,English,2020,Godwin,Lebbern,1983-11-16,San Diego,Packt Publishing
Nicholas on Holiday,362309208-8,English,2018,Jodee,Westwick,1968-01-23,Liverpool,Packt Publishing
And Nobody Weeps for Me (Und keiner weint mir nach),992229254-8,Italian,2017,Alejandrina,Bardell,1962-10-25,Wilpen,Packt Publishing
And Nobody Weeps for Me (Und keiner weint mir nach),992229254-8,Italian,2017,Hirsch,Legging,1961-12-19,Oxford,Packt Publishing
And Nobody Weeps for Me (Und keiner weint mir nach),992229254-8,Italian,2017,Breanne,Weben,1989-11-13,London,Packt Publishing
Sound of Music The,103300276-3,Khmer,2019,Mirelle,Hehnke,1968-06-25,Los Angeles,Packt Publishing
Sound of Music The,103300276-3,Khmer,2019,Jon,Duckett,1978-08-16,Los Angeles,Packt Publishing
Sound of Music The,103300276-3,Khmer,2019,Ileane,Spurriar,1969-09-03,Los Angeles,Packt Publishing
Red White & Blue,253760945-X,English,2016,Adamo,Ligoe,1971-03-26,New York,Packt Publishing
Red White & Blue,253760945-X,English,2016,Perrine,Blagden,1984-01-04,Washington,Packt Publishing
Red White & Blue,253760945-X,English,2016,Bruno,Goodsall,1963-04-27,London,Packt Publishing
Children Are Watching Us The (Bambini ci guardano I),015674765-0,English,2018,Jon,Duckett,1978-08-16,Los Angeles,Packt Publishing
Children Are Watching Us The (Bambini ci guardano I),015674765-0,English,2018,Ange,Symcox,1977-07-01,Paris,Packt Publishing
Children Are Watching Us The (Bambini ci guardano I),015674765-0,English,2018,Yancey,Sacher,1961-04-17,Lawrence,Packt Publishing
Addams Family The,131544489-5,English,2019,Giustina,Jezzard,1969-02-04,Pleasantville,Packt Publishing
Addams Family The,131544489-5,English,2019,Fiorenze,Deluca,1984-07-22,Lawrence,Packt Publishing
Agent Vinod,526942871-7,Catalan,2017,Marnie,Spinke,1987-09-07,Los Angeles,Packt Publishing
Agent Vinod,526942871-7,Catalan,2017,Merna,Lambal,1969-09-30,London,Packt Publishing
Agent Vinod,526942871-7,Catalan,2017,Chelsea,Nannetti,1973-04-14,San Diego,Packt Publishing
Agent Vinod,526942871-7,Catalan,2017,Andrej,Von Der Empten,1989-12-17,Amsterdam,Packt Publishing
Agent Vinod,526942871-7,Catalan,2017,Branden,Huffer,1955-01-03,Bloomington,Packt Publishing
Young Cassidy,280992700-6,German,2018,Luciano,Gamberini,1979-11-08,Rome,Packt Publishing
Young Cassidy,280992700-6,German,2018,Alessandro,Oldam,1972-07-09,New York,Packt Publishing
Young Cassidy,280992700-6,German,2018,Cointon,Stranaghan,1963-12-30,New York,Packt Publishing
Day the Universe Changed The,672560381-5,Northern Sotho,2018,Harlene,Tartt,1984-09-20,New York,Packt Publishing
Day the Universe Changed The,672560381-5,Northern Sotho,2018,Merrick,Harbron,1959-11-09,Pleasantville,Packt Publishing
Day the Universe Changed The,672560381-5,Northern Sotho,2018,Shamkant,Navathe,1962-11-24,London,Packt Publishing
Day the Universe Changed The,672560381-5,Northern Sotho,2018,Barr,Labbet,1967-07-06,Lawrence,Packt Publishing
Day the Universe Changed The,672560381-5,Northern Sotho,2018,Walker,Dumberell,1965-12-30,London,Packt Publishing
Day the Universe Changed The,672560381-5,Northern Sotho,2018,De,Wackly,1989-09-17,Bloomington,Packt Publishing
Day the Universe Changed The,672560381-5,Northern Sotho,2018,Cointon,Stranaghan,1963-12-30,New York,Packt Publishing
Day the Universe Changed The,672560381-5,Northern Sotho,2018,Cal,Inkin,1969-11-22,Oxford,Packt Publishing
Altman,404884623-X,Czech,2010,Barr,Labbet,1967-07-06,Lawrence,Packt Publishing
Altman,404884623-X,Czech,2010,Giustina,Jezzard,1969-02-04,Pleasantville,Packt Publishing
Altman,404884623-X,Czech,2010,Yancey,Sacher,1961-04-17,Lawrence,Packt Publishing
Altman,404884623-X,Czech,2010,Vitia,Douch,1977-08-20,London,Packt Publishing
Altman,404884623-X,Czech,2010,Booth,Belvard,1959-10-11,London,Packt Publishing
Shuttle,271280652-2,English,2017,Betti,Benz,1977-08-05,Berlino,Packt Publishing
Shuttle,271280652-2,English,2017,Russ,Leander,1959-11-16,Oxford,Packt Publishing
Shuttle,271280652-2,English,2017,Reta,Philippsohn,1966-10-08,Washington,Packt Publishing
Shuttle,271280652-2,English,2017,Harlene,Tartt,1984-09-20,New York,Packt Publishing
Split Second,816886703-3,Italian,2012,Merrick,Harbron,1959-11-09,Pleasantville,Packt Publishing
Split Second,816886703-3,Italian,2012,Breanne,Weben,1989-11-13,London,Packt Publishing
Revenge of the Nerds,502714957-3,Japanese,2019,Corri,Gavrieli,1974-06-30,London,Addison-Wesley
Revenge of the Nerds,502714957-3,Japanese,2019,Lewes,Salsberg,1988-05-18,Cumberland,Addison-Wesley
Revenge of the Nerds,502714957-3,Japanese,2019,Kerri,Adiscot,1980-06-28,Cumberland,Addison-Wesley
Stupid Boy (Garçon stupide),998941371-1,Italian,2013,Gregorius,McPhater,1976-12-04,Pleasantville,Addison-Wesley
Streetcar Named Desire A,510453377-8,English,2013,Gertrudis,Corzon,1983-06-21,Oxford,Addison-Wesley
Streetcar Named Desire A,510453377-8,English,2013,Farrah,Letham,1962-07-15,Oxford,Addison-Wesley
Streetcar Named Desire A,510453377-8,English,2013,Emiline,Greenhough,1982-04-11,Madison,Addison-Wesley
Scenic Route,299282269-8,English,2015,Sim,Frondt,1967-05-20,Bloomington,Addison-Wesley
Scenic Route,299282269-8,English,2015,Margaretha,Aysik,1973-03-18,Washington,Addison-Wesley
Scenic Route,299282269-8,English,2015,Sella,Marriage,1988-12-01,Madison,Addison-Wesley
Scenic Route,299282269-8,English,2015,Gabriella,Orum,1958-11-21,Madison,Addison-Wesley
Maniac,136964378-0,English,2013,Boycie,Shorey,1989-11-20,Amsterdam,Addison-Wesley
Maniac,136964378-0,English,2013,Boycie,Shorey,1989-11-20,Amsterdam,Addison-Wesley
Maniac,136964378-0,English,2013,Shamkant,Navathe,1962-11-24,London,Addison-Wesley
Rebecca,432587582-4,Swedish,2015,Maible,Twidale,1963-01-29,Bloomington,Addison-Wesley
Rebecca,432587582-4,Swedish,2015,Gregorius,McPhater,1976-12-04,Pleasantville,Addison-Wesley
Rebecca,432587582-4,Swedish,2015,Lewes,Salsberg,1988-05-18,Cumberland,Addison-Wesley
Trial,284203566-6,Korean,2013,Sim,Frondt,1967-05-20,Bloomington,Addison-Wesley
Trial,284203566-6,Korean,2013,Karie,Bendixen,1969-12-29,Amsterdam,Addison-Wesley
Trial,284203566-6,Korean,2013,Rubie,Delgua,1970-06-03,Los Angeles,Addison-Wesley
Memory,083845517-4,Punjabi,2014,Burk,Torr,1984-08-01,Bloomington,Addison-Wesley
Luna de Avellaneda,441842932-8,Guaraní,2018,Russ,Leander,1959-11-16,Oxford,Addison-Wesley
Luna de Avellaneda,441842932-8,Guaraní,2018,Giffer,Leisman,1959-05-25,Los Angeles,Addison-Wesley
Luna de Avellaneda,441842932-8,Guaraní,2018,Rubie,Delgua,1970-06-03,Los Angeles,Addison-Wesley
Life of Another The (La vie d une autre),009047587-9,English,2015,Gregorius,McPhater,1976-12-04,Pleasantville,Addison-Wesley
Life of Another The (La vie d une autre),009047587-9,English,2015,Inesita,Dallender,1982-04-05,New York,Addison-Wesley
Memory Keeper s Daughter The,594275024-6,English,2012,Bruno,Goodsall,1963-04-27,London,Addison-Wesley
Memory Keeper s Daughter The,594275024-6,English,2012,Karie,Bendixen,1969-12-29,Amsterdam,Addison-Wesley
Memory Keeper s Daughter The,594275024-6,English,2012,Betti,Benz,1977-08-05,Berlino,Addison-Wesley
Memory Keeper s Daughter The,594275024-6,English,2012,Bartolemo,Chadwin,1969-07-22,Pleasantville,Addison-Wesley
Concrete Night (Betoniyö),222223087-X,Irish Gaelic,2010,Ludvig,Callf,1971-06-05,London,Addison-Wesley
Jubilee,343838580-5,English,2015,Ileane,Spurriar,1969-09-03,Los Angeles,Addison-Wesley
Jubilee,343838580-5,English,2015,Gertrudis,Corzon,1983-06-21,Oxford,Addison-Wesley
